,job_name,company_name,company_location,experience_required,job_description,job_apply_url
0,Infosys Hiring Event Python Developer Opportunities in  ...,Infosys Limited,Chennai,3 to 8 Yrs,Regular99 Positions,https://www.shine.com/jobs/infosys-hiring-event-python-developer-opportunities-in-chennai-permanent/infosys-limited/14162332
1,PRT TGT PGT Computer Teacher,Stephenson Technology Services,"Noida+4Gurugram, Faridabad, Yamunanagar, Delhi",0 to 4 Yrs,Regular,https://www.shine.com/jobs/prt-tgt-pgt-computer-teacher-permanent/stephenson-technology-services/14165662
2,PRT TGT PGT Computer Teacher,Stephenson Technology Services,All India,0 to 4 Yrs,Regular,https://www.shine.com/jobs/prt-tgt-pgt-computer-teacher-permanent/stephenson-technology-services/14165585
3,ML Data Scientist,GUJARAT FACILITY SERVICES Hiring Fo...,"Bangalore+3Bangalore Rural, Vadodara, Ahmedabad",5 to 8 Yrs,Contractual,https://www.shine.com/jobs/ml-data-scientist-contractual/gujarat-facility-services/14165041
4,Hiring For Data Engineer,RENUKA INTERPRISES,"Canada+15Oman, Qatar, Other Bihar, Saudi Arabia, Bhubaneswar, Cuttack, Other Odisha, Other Chattisgarh, Raipur, United Arab Emirates, United States of America, Sangli, Other Jharkhand, Satara, Ranchi",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/hiring-for-data-engineer-permanent/renuka-interprises/14165065
5,Hiring For Data Engineer,RENUKA INTERPRISES,"Canada+15Surat, Vadodara, Oman, Qatar, Saudi Arabia, Jammu, Dehradun, Gwalior, Srinagar, Jabalpur, Raipur, United Arab Emirates, Kolkata, United States of America, Bhopal",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/hiring-for-data-engineer-permanent/renuka-interprises/14165062
6,Hiring For Data Engineer,RENUKA INTERPRISES,"Canada+15Oman, Qatar, Saudi Arabia, Bhubaneswar, Cuttack, Jaipur, Rourkela, Gwalior, Indore, Jabalpur, Jodhpur, United Arab Emirates, United States of America, Pune, Mumbai City",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/hiring-for-data-engineer-permanent/renuka-interprises/14165060
7,Senior Machine Learning and Python Expert,Bloom Value Corporation,Other Karnataka,10 to 14 Yrs,Regular,https://www.shine.com/jobs/senior-machine-learning-and-python-expert-permanent/bloom-value-corporation/14158209
8,Data Scientist Urgent Vacancy,RENUKA INTERPRISES,"Canada+15Oman, Other Bihar, Qatar, Saudi Arabia, Other Arunachal Pradesh, Other Assam, Other Maharashtra, Other Jammu-Kashmir, Other Odisha, Other Chattisgarh, United Arab Emirates, Other Uttarakhand, Other Madhya Pradesh, United States of America, Other Jharkhand",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/data-scientist-urgent-vacancy-permanent/renuka-interprises/14164965
9,Data Scientist Urgent Vacancy,RENUKA INTERPRISES,"Canada+15Oman, Qatar, Patna, Saudi Arabia, Bhubaneswar, Bangalore, Jaipur, Jodhpur, United Arab Emirates, Kota, Hyderabad, United States of America, Pune, Ranchi, Nagpur",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/data-scientist-urgent-vacancy-permanent/renuka-interprises/14164964
10,Data Scientist Urgent Vacancy,RENUKA INTERPRISES,"Canada+15Oman, Qatar, Saudi Arabia, Jaipur, United Arab Emirates, Jodhpur, United States of America, Navi Mumbai, Kolkata, Thane, Udaipur, Pune, Mumbai City, Nagpur, Bhopal",0 to 4 Yrs,Regular99 Positions,https://www.shine.com/jobs/data-scientist-urgent-vacancy-permanent/renuka-interprises/14164950
11,REF17619U-Python developer+chatbot develoepr Assistant  ...,WNS,Other Maharashtra+1Pune,6 to 10 Yrs,Regular,https://www.shine.com/jobs/refu-python-developerchatbot-develoepr-assistant-manager-wts-permanent/wns/14160769
12,Python/Django Developer,System Soft Technologies,All India,5 to 9 Yrs,Regular,https://www.shine.com/jobs/pythondjango-developer-permanent/system-soft-technologies/14157259
13,Python Django & JavaScript Developer,infinity business solutions pvt ltd,Other Haryana,3 to 5 Yrs,Regular,https://www.shine.com/jobs/python-django-javascript-developer-permanent/infinity-business-solutions-pvt-ltd/14156721
14,Robotics Trainer & Coding Teacher,SCHR Engaging LLP,"Lucknow+5Kolkata, Navi Mumbai, Mumbai City, Mangalore, Coimbatore",1 to 3 Yrs,Regular4 Positions,https://www.shine.com/jobs/robotics-trainer-coding-teacher-permanent/schr-engaging-llp/14163946
15,Robotics Trainer,SCHR Engaging LLP,Bangalore+1Other Tamil Nadu,1 to 3 Yrs,Regular2 Positions,https://www.shine.com/jobs/robotics-trainer-permanent/schr-engaging-llp/14163925
16,Robotics Trainer,SCHR Engaging LLP,Agra+1Other Uttar Pradesh,1 to 3 Yrs,Regular7 Positions,https://www.shine.com/jobs/robotics-trainer-permanent/schr-engaging-llp/14163921
17,Robotics Trainer,SCHR Engaging LLP,Bijnor,1 to 3 Yrs,Regular2 Positions,https://www.shine.com/jobs/robotics-trainer-permanent/schr-engaging-llp/14163909
18,Python Development,AlgoBulls,Other Maharashtra,1 to 5 Yrs,Regular,https://www.shine.com/jobs/python-development-permanent/algobulls/14160700
